CountryName,Numbers,MW,Longitude,Latitude,Number2014,MW2014
Argentina,3,"1,627",-63.616672,-38.416097,5.3,4
Armenia,1,375,45.038189,40.069099,2.3,30.7
Belgium,7,"5,921",4.469936,50.503887,32.1,47.5
Brazil,2,"1,884",-51.92528,-14.235004,14.5,2.9
Bulgaria,2,"1,926",25.48583,42.733883,15,31.8
Canada,19,"13,500",-106.346771,56.130366,98.6,16.8
China,27,"23,025",104.195397,35.86166,123.8,2.4
Czech_RP,6,"3,904",15.472962,49.817492,28.6,35.8
Finland,4,"2,752",25.748151,61.92411,22.6,34.6
France,58,"63,130",2.213749,46.227638,418,76.9
Germany,9,"12,074",10.451526,51.165691,91.8,15.8
Hungary,4,"1,889",19.503304,47.162494,14.8,53.6
India,21,"5,308",78.96288,20.593684,33.2,3.5
Iran,1,915,53.688046,32.427908,3.7,1.5
Japan,43,"40,290",138.252924,36.204824,0,0
Korea Rep.,24,"21,667",127.978458,37.663998,149.2,30.4
Mexico,2,"1,330",-102.552784,23.634501,9.3,5.6
Netherlands,1,482,5.291266,52.132633,3.9,4
Pakistan,3,690,69.345116,30.375321,4.6,4.3
Romania,2,"1,300",24.96676,45.943161,10.8,18.5
Russia,34,"24,654",105.318756,61.52401,169.1,18.6
Slovakia,4,"1,814",19.699024,48.669026,14.4,56.8
Slovenia,1,688,14.995463,46.151241,6.1,37.2
South Africa,2,"1,860",22.937506,-30.559482,14.8,6.2
Spain,7,"7,121",40.463667,40.463667,54.9,20.4
Sweden,10,"9,651",18.643501,60.128161,62.3,41.5
Switzerland,5,"3,333",8.227512,46.818188,26.5,37.9
"Taiwan, China",6,"5,032",120.960515,23.69781,40.8,18.9
U.K.,16,"9,373",-3.435973,55.378051,57.9,17.2
U.S.*,99,"98,639",-95.712891,37.09024,798.6,19.5
Ukraine,15,"13,107",31.16558,48.379433,83.1,49.4
